15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:650,25;805,25;960,25;1115,25;650,180;805,180;960,180;1115,180;650,335;805,335;960,335;1115,335;650,490;805,490;960,490;1115,490
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:650,25;805,25;960,25;1115,25;650,180;805,180;960,180;1115,180;650,335;805,335;960,335;1115,335;650,490;805,490;960,490;1115,490
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:650,25;805,25;960,25;1115,25;650,180;805,180;960,180;1115,180;650,335;805,335;960,335;1115,335;650,490;805,490;960,490;1115,490
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:650,25;805,25;960,25;1115,25;650,180;805,180;960,180;1115,180;650,335;805,335;960,335;1115,335;650,490;805,490;960,490;1115,490
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:650,25;805,25;960,25;1115,25;650,180;805,180;960,180;1115,180;650,335;805,335;960,335;1115,335;650,490;805,490;960,490;1115,490
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:650,25;805,25;960,25;1115,25;650,180;805,180;960,180;1115,180;650,335;805,335;960,335;1115,335;650,490;805,490;960,490;1115,490
480,490;480,335;480,25;15,25;15,335;480,180;325,25;170,335;15,490;170,180;170,490;170,25;325,180;325,335;325,490;15,180:650,25;805,25;960,25;1115,25;650,180;805,180;960,180;1115,180;650,335;805,335;960,335;1115,335;650,490;805,490;960,490;1115,490
480,490;480,335;480,25;15,25;15,335;480,180;325,25;170,335;15,490;170,180;170,490;170,25;325,180;325,335;325,490;15,180:650,25;805,25;960,25;1115,25;650,180;805,180;960,180;1115,180;650,335;805,335;960,335;1115,335;650,490;805,490;960,490;1115,490
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
